branch,model,scope,horizon_h,budget,role,n_seeds,rmse_mean_per_kwp,rmse_sd_per_kwp,mae_mean_per_kwp,mae_sd_per_kwp,r2_mean,r2_sd,bias_mean_per_kwp,bias_sd_per_kwp,reference_kw_rmse_mean,reference_kw_rmse_sd,reference_kw_mae_mean,reference_kw_mae_sd,daylight_rmse_mean_per_kwp,daylight_rmse_sd_per_kwp,daylight_mae_mean_per_kwp,daylight_mae_sd_per_kwp,daylight_r2_mean,daylight_r2_sd,n_test_residuals,n_daylight_residuals,source_id
Direct,PatchTST,LocationSpecific,24,,fully repeated official S-mode,3,0.06162468192039564,7.791179159405295e-05,0.02555860027823312,3.5747229628506356e-05,0.9447668630427021,0.0001396532314247223,-0.0010925187605793048,3.8602625800265e-05,207.6751780717333,0.26256273767197114,86.13248293764563,0.12046816384807035,0.08701123565368939,0.00011000789046422061,0.050954008701745344,7.12662129273744e-05,0.874258756702524,0.0003179281843692617,,,PatchTST_H24_LocationSpecific_Summary
Direct,PatchTST,LocationSpecific,48,,fully repeated official S-mode,3,0.06697075664407413,5.038466628908936e-05,0.028685208681142767,2.979888315057731e-05,0.9347572261632848,9.818816373668539e-05,-0.0017344702963553408,7.296225141858117e-06,225.6914498905298,0.16979632539423886,96.66915325545112,0.10042223621744654,0.09454824119495044,7.113226458148699e-05,0.05717346469899151,5.9393167148159394e-05,0.8515126851350804,0.00022346837706908298,,,PatchTST_H48_LocationSpecific_Summary
Direct,TCN,Global,24,,auxiliary single-seed H24 only,1,0.05627681233084694,,0.02451465144275927,,0.9539373578732847,,-0.0012452205539498049,,189.6528574526861,,82.61437527613406,,0.07946028810149738,,0.04887277665195215,,0.8951358874463751,,6186600,3103207,TCN_H24_Strict_Summary
LOCO Zero-Shot,LSTM,HistoryAware,24,,history-aware,3,0.05756861932024259,0.00014779330393735736,0.024696808499434342,4.249508354556129e-05,0.9517981839122774,0.00024735758919638165,-0.0011383557559918875,0.0003213695368262605,194.00624704981342,,83.22824456603901,,0.08128426055653713,0.00020867739347592336,0.04923592769112744,8.471883566354886e-05,0.8902659414627787,0.0005631230185000148,6186600.0,3103207.0,LOCO_LSTM_H24_HistoryAware_Summary
LOCO Zero-Shot,LSTM,ColdStart,24,,pure cold-start,3,0.057374664759177386,0.0004469519859035788,0.024876040461212823,0.0003614662195101875,0.9521207038763628,0.0007449255884833329,-0.0015052039332087055,0.00040264420594126325,193.35262020993034,,83.83225629399624,,0.08101040557679456,0.0006310757858608845,0.04959324721726241,0.0007206244744941993,0.8910001757197193,0.0016958636575796758,6186600.0,3103207.0,LOCO_LSTM_H24_ColdStart_Summary
LOCO Zero-Shot,LSTM,HistoryAware,48,,history-aware,3,0.06477423247095372,0.0006545993006739718,0.028323111602871525,0.0005544459420666702,0.938962609071171,0.0012369640426478524,-0.0016091302244412237,0.0003519566907240248,218.28916333379524,,95.44888600721258,,0.09144722356102315,0.0009241528044113176,0.05645175670124708,0.0011050850578990844,0.861083798980327,0.002815230844367844,12355920.0,6199242.0,LOCO_LSTM_H48_HistoryAware_Summary
LOCO Zero-Shot,LSTM,ColdStart,48,,pure cold-start,3,0.0645768236294956,0.0002692372121127453,0.028334492133404676,0.00029394159303007306,0.9393375099180181,0.000505808696257745,-0.002246535049006194,0.00020288139916589375,217.62389557259425,,95.48723841170768,,0.09116852492162454,0.0003801047822228055,0.0564744396235826,0.0005858649828724453,0.8619370432067023,0.0011511799809526264,12355920.0,6199242.0,LOCO_LSTM_H48_ColdStart_Summary
LOCO Zero-Shot,PatchTST,HistoryAware,24,,history-aware S-mode,3,0.0602463333849827,0.00017747970678520667,0.0247072208805046,0.00016730550029870874,0.9472097620491136,0.00031126550835393373,-0.00144493960212753,8.508154281043963e-05,203.03014350739167,0.5981066118661403,83.2633343673005,0.5638195360066498,0.08506507048917529,0.000250593238124677,0.04925668597013661,0.00033354275372155033,0.8798201492874472,0.0007086128757506163,,,LOCO_PatchTST_H24_Summary
LOCO Zero-Shot,PatchTST,HistoryAware,48,,history-aware S-mode,3,0.06606416593399751,1.806384633180688e-05,0.027973697622394017,4.131782042748117e-05,0.9365116886160548,3.47164687375252e-05,-0.00214929001076086,4.38689344631108e-06,222.6362391975716,0.060875162138183773,94.27136098746784,0.13924105484061614,0.09326833095626257,2.550224882429585e-05,0.0557553278169316,8.23519526704054e-05,0.8555057008105807,7.90118954373268e-05,,,LOCO_PatchTST_H48_Summary
LOCO Few-Shot,LSTM,HeadOnly,24,30d,cold-start source + head-only adaptation,3,0.05748908548814699,0.00012591079887052704,0.024893097000445178,0.0003394166731026513,0.9519313356799414,0.00021052777512647,0.00018418936034737091,0.001965813423467983,193.73821809505534,,83.88973689150026,,0.08117196241898486,0.00017778029598627745,0.04962725138959604,0.0006766661681985321,0.8905690687109424,0.0004792779416733245,6186600.0,3103207.0,FewShot_H24_30d_Summary
LOCO Few-Shot,LSTM,HeadOnly,24,90d,cold-start source + head-only adaptation,3,0.05823451803962112,0.000665566483583266,0.026575487944532416,0.0006433358791704539,0.9506725512169646,0.0011311484525660244,-0.005101990088714491,0.0022917263227297093,196.2503257935232,,89.55939437307423,,0.08222447912785862,0.0009397494695561888,0.0529812911989578,0.0012825640539209679,0.8877033773499643,0.002575121034491234,6186600.0,3103207.0,FewShot_H24_90d_Summary
